"","Top1_Similar_Hotel","Top2_Similar_Hotel","Top3_Similar_Hotel","Top4_Similar_Hotel","Top5_Similar_Hotel"
"772511",593483,705423,481664,793845,729317
"775655",593483,705423,481664,793845,729317
"776288",593483,705423,481664,793845,729317
"778820",593483,705423,481664,793845,729317
"779175",593483,705423,481664,793845,729317
"779225",593483,705423,481664,793845,729317
"779297",593483,705423,481664,793845,729317
"780674",593483,705423,481664,793845,729317
"780873",593483,705423,481664,793845,729317
"781253",593483,705423,481664,793845,729317
"782254",593483,705423,481664,793845,729317
"783348",593483,705423,481664,793845,729317
"784277",593483,705423,481664,793845,729317
"784543",593483,705423,481664,793845,729317
"784644",593483,705423,481664,793845,729317
"785432",593483,705423,481664,793845,729317
"787331",593483,705423,481664,793845,729317
"788351",593483,705423,481664,793845,729317
"789630",593483,705423,481664,793845,729317
"789743",593483,705423,481664,793845,729317
"791690",593483,705423,481664,793845,729317
"793499",593483,705423,481664,793845,729317
"793845",593483,705423,481664,550783,551495
"794322",593483,705423,481664,793845,729317
"794927",593483,705423,481664,793845,729317
"796683",593483,705423,481664,793845,729317
"798189",593483,705423,481664,793845,729317
"798941",593483,705423,481664,793845,729317
"800095",593483,705423,481664,793845,729317
"800723",593483,705423,481664,793845,729317
"801544",593483,705423,481664,793845,729317
"802052",593483,705423,481664,793845,729317
"805368",593483,705423,481664,793845,729317
"807269",593483,705423,481664,793845,729317
"807531",593483,705423,481664,793845,729317
"809177",593483,705423,481664,793845,729317
"810730",593483,705423,481664,793845,729317
"811651",593483,705423,481664,793845,729317
"814991",593483,705423,481664,793845,729317
"815050",593483,705423,481664,793845,729317
"815872",593483,705423,481664,793845,729317
"816048",593483,705423,481664,793845,729317
