"","Top1_Similar_Hotel","Top2_Similar_Hotel","Top3_Similar_Hotel","Top4_Similar_Hotel","Top5_Similar_Hotel"
"656268",481664,735973,683431,729317,291637
"658049",793845,481664,705423,705509,742160
"660856",729317,793845,481664,735973,627188
"663390",793845,729317,481664,608432,593483
"663697",729317,793845,481664,551495,735973
"664697",729317,793845,551495,735973,784277
"665134",793845,735973,729317,481664,350271
"665250",481664,793845,735973,350271,729317
"666142",744659,735973,729317,793845,755431
"667305",793845,530136,698672,481664,390894
"667333",729317,481664,793845,735973,568446
"667928",793845,735973,481664,551495,729317
"669729",350271,481664,793845,613110,755431
"670745",793845,593483,729317,705423,570478
"670828",729317,481664,735973,793845,658049
"673453",608432,481664,793845,735973,729317
"675673",481664,729317,735973,793845,350271
"675886",415619,481664,779175,729317,770281
"676922",481664,350271,735973,729317,793845
"678393",570753,551495,729317,255177,582280
"679838",793845,593483,528227,811651,729317
"681038",481664,350271,729317,793845,735973
"682461",481664,735973,729317,793845,593483
"682748",793845,593483,350271,595990,481664
"683431",793845,656268,593483,307470,705423
"685990",793845,593483,437757,555399,729317
"686018",481664,729317,793845,168769,735973
"689623",793845,729317,343094,551495,528227
"690757",793845,319985,481664,483779,770281
"692906",481664,729317,755431,58211,343094
"693432",793845,735973,481664,551495,729317
"693675",793845,729317,779175,634170,481664
"694850",793845,732509,444935,437757,705423
"696113",481664,735973,729317,793845,350271
"698672",551495,286374,809177,68873,779175
"699991",793845,735973,291637,481664,593483
"700797",793845,593483,705423,744659,729317
"700901",793845,350271,481664,551495,593483
"700993",793845,735973,481664,729317,350271
"702120",729317,481664,350271,75444,58211
"702124",481664,289071,735973,255809,729317
"702894",793845,729317,735973,652660,350271
"703616",793845,481664,729317,551495,350271
"705423",755431,779175,80635,168769,289071
"705509",793845,608432,593483,619662,735973
"705935",793845,593483,370870,52490,188347
"706170",729317,793845,350271,735973,481664
"708528",793845,350271,593483,245927,50570
"713557",350271,793845,729317,481664,593483
"713715",481664,735973,793845,350271,83498
"714243",481664,350271,171631,581342,551495
"714520",481664,729317,515088,551495,735973
"714884",481664,551495,735973,793845,755431
"715799",481664,350271,779175,582280,793845
"715856",481664,793845,729317,350271,735973
"716107",729317,240191,481664,742160,793845
"716781",481664,75382,58211,551495,350271
"719623",735973,744659,793845,481664,50523
"721291",793845,593483,481664,776288,666142
"721897",793845,481664,729317,735973,350271
"722997",350271,481664,483779,788351,590386
"724346",481664,350271,735973,613110,50515
"728144",793845,735973,481664,240191,551495
"728145",729317,793845,481664,735973,551495
"728527",793845,735973,593483,481664,595990
"728713",481664,551495,809177,696113,307497
"729260",481664,755431,255809,729317,735973
"729317",811651,660856,378523,528227,50515
"729395",793845,705423,593483,784277,528227
"730916",793845,481664,350271,779225,735973
"730965",481664,793845,350271,729317,539579
"731834",793845,729317,593483,735973,582280
"732509",694850,481664,551495,608432,793845
"733654",793845,729317,350271,481664,678393
"734886",793845,528022,729317,481664,343094
"735973",528227,696113,50515,656268,415619
"740374",481664,619662,350271,735973,729317
"740616",793845,593483,652660,582121,350271
"740995",481664,793845,735973,729317,350271
"741043",593483,793845,729317,705423,735973
"741398",735973,793845,729317,481664,744659
"742160",793845,481664,716107,729317,593483
"742634",608432,481664,582280,245927,735973
"744158",793845,735973,593483,350271,481664
"744386",793845,593483,735973,481664,729317
"744520",793845,593483,735973,481664,811651
"744574",793845,735973,729317,481664,608432
"744659",666142,793845,350271,551495,481664
"746067",481664,735973,779225,613088,582280
"746807",481664,793845,350271,528022,608432
"747847",793845,705423,595990,656268,590386
"750743",481664,729317,735973,793845,551495
"751774",793845,593483,729317,481664,551495
"753720",793845,729317,656268,735973,75444
"754020",793845,528227,811651,593483,350271
"754613",481664,793845,729317,350271,779225
"755431",705423,784277,601882,652660,370870
"755982",481664,350271,793845,634170,530136
"758475",729317,481664,735973,793845,350271
"758600",481664,735973,779175,434097,793845
"759060",729317,343094,793845,770281,582280
"759299",793845,729317,735973,83498,593483
"759402",793845,343094,735973,593483,755431
"760035",481664,350271,793845,245927,755431
"760599",793845,706170,705423,729317,735973
"761411",793845,729317,735973,302426,593483
"768274",729317,793845,481664,343094,141708
"768737",793845,593483,555399,174592,781253
"770281",481664,794322,96048,434097,101618
"771217",793845,729317,481664,705423,571130
"771343",793845,593483,517092,705423,415619
"771758",593483,793845,716781,350271,505804
"772511",350271,481664,735973,779175,483779
"775655",350271,551495,481664,793845,784277
"776288",793845,593483,729317,363678,735973
"778820",481664,793845,350271,735973,73917
"779175",793845,705423,784277,582121,698672
"779225",570753,593483,793845,363678,570478
"779297",735973,770281,793845,481664,570753
