"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"5022420","724346","609202","552145","247805","80635"
"5023084","69042","198307","619662","665134","189754"
"5037898","730965","640623","387644","291752","783348"
"5039682","601882","746807","255177","311584","563682"
"5039919","705423","700797","168769","387644","68873"
"5044001","724346","410998","705423","589194","400325"
"5058598","589194","619662","387644","742160","601882"
"5062046","637742","485237","734886","714520","327285"
"5064424","724346","564826","276275","705423","589194"
"5093231","706170","590236","212050","652575","400325"
"5127223","68873","533623","632434","621108","631543"
"5134169","768737","714520","91535","623734","460469"
"5134833","621108","683431","291752","311694","619662"
"5155963","564826","445345","568446","698672","631543"
"5196152","528227","408794","489832","561022","297220"
"5207679","410998","137026","794322","193038","222516"
"5268852","38266","255809","713715","68873","69042"
"5290998","91535","771343","221922","667305","724346"
"5299179","68873","568446","601882","563682","730965"
"5330753","193038","714520","445345","702894","467103"
"5336046","716107","699991","771343","68873","69042"
"5351733","38266","277011","310722","608432","601882"
"5379475","768737","734886","175989","568446","460469"
"5384133","485237","589194","667333","621108","683431"
"5385464","656268","410998","778820","291752","342540"
"5399286","408794","460469","683431","568446","168769"
"5403147","768737","38266","564826","735973","175989"
"5412054","772511","237017","742160","713715","665134"
"5435558","564826","237017","601882","601498","515088"
"5445555","768737","706170","807269","311694","746807"
"5446448","367107","552145","175989","623734","807269"
"5461945","624485","683431","310722","237017","601882"
"5484579","589194","793499","612698","494433","69042"
"5495353","327285","237017","495862","742634","489832"
"5513568","276275","460469","619662","623734","700797"
"5527039","724346","624485","771343","237017","291752"
"5537923","193038","690757","314235","570753","467103"
"5558015","552145","503629","553514","570753","237017"
"5560205","175989","193038","632434","621108","568446"
"5574416","734886","631543","387644","107195","563682"
"5582413","528227","38266","485237","705423","237017"
"5604808","222516","367107","730965","589194","107195"
"5619477","714520","361342","624485","783348","742160"
"5646154","590236","314235","713715","68873","221922"
"5646772","552145","589194","516482","621108","742634"
"5647495","175989","460469","624485","489832","237017"
"5667389","735973","589237","568446","553514","291752"
"5669252","533623","589194","387644","702894","255202"
"5681109","237017","667333","608432","387644","107972"
"5694124","564826","175989","68873","742634","311584"
"5706763","284319","809177","286500","327285","568446"
"5719622","445345","286500","68873","277011","310722"
"5720466","96048","705423","778820","255809","632434"
"5732915","408794","533623","619662","771343","361342"
